_name,_count
AT-StiAAdm/Urkunden,254
AT-StiAM/MelkOSB,190
AT-StiAH/HeiligenkreuzOCist,140
AT-StiAMB/MbOSB,131
AT-StiAHe/HerzogenburgCanReg,104
AT-StiAG/GoettweigOSB,98
AT-StiALi/LilienfeldOCist,88
AT-StiAL/LambachOSB,81
AT-StiAKr/KremsmuensterOSB,81
AT-HHStA/MillstattOSB,61
AT-StiAK/KlosterneuburgCanReg,56
AT-AWMK/WienOFMConv,48
AT-StiAHe/DuernsteinCanReg,43
AT-StiAHe/StAndraeCanReg,41
AT-OOeLA/GarstenOSB,39
AT-StiAGe/Urkunden,31
AT-StiAA/Urkunden,30
AT-HHStA/TullnOP,29
AT-OOeLA/SpitalamPyhrnCan,25
AT-StiAHe/DuernsteinOSCl,24
AT-HHStA/StPaulOSB,23
AT-StiAMB/MuellnOSA,21
AT-HHStA/MauerbachOCart,21
AT-StiAK/StDorotheaCanReg,19
AT-OOeLA/MondseeOSB,18
AT-OOeLA/GleinkOSB,16
AT-HHStA/WNOSPPE,16
AT-HHStA/ImbachOP,14
AT-StaAR/UrkDominikanerkloster,13
AT-AWMK/AsparnOFMConv,11
AT-StiAH/WienOCist,7
AT-HHStA/ErlaOSB,7
AT-HHStA/OSPPE,7
AT-HHStA/GamingOCart,4
AT-HHStA/YbbsOCist,4
AT-HHStA/WienKoeklOSCI,3
AT-HHStA/StLambrechtOSB,2
AT-HHStA/WienStJakobCanReg,2
AT-HHStA/WienStClaraOSCI,2
AT-HHStA/EberndorfCanReg,2
AT-HHStA/WienStLaurCanReg,2
AT-HHStA/WienMaMagdCanReg,1
AT-HHStA/GrosswardeinOPraem,1
AT-HHStA/WNOCarm,1
AT-HHStA/NeubergOCist,1
AT-OOeLA/SubenCanReg,1
AT-HHStA/ThalbachOFM,1
AT-HHStA/MistelbachOCarm,1
AT-HHStA/WNStPeterSpOP,1
AT-HHStA/WienOSA,1
AT-HHStA/EbersbergOSB,1
AT-AWMK/NeunkirchenOFMConv,1
AT-HHStA/TraunseeOSB,1
AT-KLA/KLA-308,1
AT-HHStA/WienOP,1
