_name,__text
AT-AWMK/WienOFMConv,63
AT-AWMK/AsparnOFMConv,25
AT-HHStA/StLambrechtOSB,1
AT-HHStA/ImbachOP,6
AT-HHStA/ErlaOSB,2
AT-HHStA/MistelbachOCarm,1
AT-HHStA/TullnOP,15
AT-HHStA/WNOSPPE,10
AT-HHStA/WienKoeklOSCI,5
AT-HHStA/MillstattOSB,7
AT-HHStA/WNOCarm,1
AT-HHStA/NeubergOCist,1
AT-HHStA/MauerbachOCart,5
AT-HHStA/StPaulOSB,10
AT-OOeLA/SpitalamPyhrnCan,8
AT-OOeLA/MondseeOSB,3
AT-OOeLA/GarstenOSB,14
AT-OOeLA/SubenCanReg,1
AT-OOeLA/GleinkOSB,5
AT-StaAR/UrkDominikanerkloster,4
AT-StiAA/Urkunden,2
AT-StiAAdm/Urkunden,15
AT-StiAG/GoettweigOSB,49
AT-StiAGe/Urkunden,8
AT-StiAH/HeiligenkreuzOCist,34
AT-StiAH/WienOCist,1
AT-StiAHe/HerzogenburgCanReg,21
AT-StiAHe/StAndraeCanReg,7
AT-StiAHe/DuernsteinOSCl,6
AT-StiAK/KlosterneuburgCanReg,22
AT-StiAKr/KremsmuensterOSB,26
AT-StiAL/LambachOSB,6
AT-StiALi/LilienfeldOCist,44
AT-StiAM/MelkOSB,136
AT-StiAMB/MuellnOSA,4
AT-StiAMB/MbOSB,5
AT-StiANK/NeuklosterOCist,13
AT-StiAR/ReichersbergCanReg,14
AT-StiARein/ReinOCist,32
AT-StiASch/SchlierbachOCist,6
AT-StiASchl/Urkunden,9
AT-StiAScho/SchottenOSB,18
AT-StiASei/SeitenstettenOSB,7
AT-StiASF/StFlorianCanReg,29
AT-StiASP/Urkunden,21
AT-StiAStP/BlUKVariaEcclesiastica,2
AT-StiAStP/UK,60
AT-StiAStP/BlUKHirsau,1
AT-StiAStP/BlUKBlaubeuren,7
AT-StiAStP/BlUKLorch,1
AT-StiAStP/BlUKMaulbronn,1
AT-StiAStP/BlUKWilhelmiterOrden,17
AT-StiAStP/EUK,4
AT-StiAStP/BlUKBebenhausen,1
AT-StiAV/VorauCanReg,3
AT-StiAW/Urkunden,16
AT-StiAWilten/Urkunden,26
AT-StiAZ/Urkunden,28
AT-VLA/ThalbachKl,6
AT-VLA/ThalbachHirschtalKl,1
AT-VLA/MehrerauKl,26
CH-StiASG/StiAPfae,14
CH-StiASG/Urkunden,58
CZ-MZA/E10,16
CZ-MZA/E51,18
CZ-MZA/E03,33
CZ-MZA/E04,4
CZ-MZA/E40,2
CZ-MZA/E59,2
CZ-MZA/E07,34
CZ-MZA/E08,7
CZ-MZA/E18,5
CZ-MZA/E43,19
CZ-MZA/E41,1
CZ-MZA/E06,21
CZ-MZA/E05,6
CZ-MZA/E55,7
CZ-MZA/E57,17
CZ-MZA/E16,1
CZ-MZA/E58,1
CZ-MZA/E09,17
CZ-NA/RKr,130
CZ-NA/RA,9
CZ-NA/RBB,170
CZ-NA/RD,6
CZ-SOAT/PremonstratiZeliv,24
CZ-ZAO/NR-OPAVA,3
CZ-ZAO/RM-KRNOV,4
CZ-ZAO/RK-FULNEK,1
DE-BAH/UrkStMi,5
DE-BayHStA/KUWindberg,15
DE-BayHStA/KUMuenchenAngerkloster,7
DE-BayHStA/KURohr,1
DE-BayHStA/KUFrauenchiemsee,1
DE-BayHStA/KUVilshofen,9
DE-BayHStA/KUFormbach,13
DE-BayHStA/KUHoeglwoerth,22
DE-BayHStA/KUAltenhohenau,11
DE-BayHStA/KURaitenhaslach,52
DE-BayHStA/KUAltoettingChorstift,8
DE-BayHStA/KUAldersbach,25
DE-BayHStA/KUFuerstenzell,16
DE-BayHStA/KUAltomuenster,13
DE-BayHStA/KUOsterhofen,1
DE-BayHStA/KUAsbach,14
DE-BayHStA/KUPassauStSalvator,3
DE-BayHStA/KUNeuburgDonau,8
DE-BayHStA/KURegensburgStEmmeram,99
DE-BayHStA/KUNiederaltaich,45
DE-BayHStA/KUPassauNiedernburg,9
DE-BayHStA/KUMuenchen-Puetrichhaus,1
DE-GLAK/GLAK_34,18
DE-HStAMa/urk77,37
DE-HStASt/HStASt_A502,32
DE-LHAKO/164,12
DE-LHAKO/128,38
DE-LHAKO/210,16
DE-StAAm/Waldsassen,45
DE-StABa/Langheim,11
DE-StALB/StAL_B509,13
DE-UAHD/LambrechtKloster,3
DE-UAHD/ZellStift,3
HR-DAZD/336,2
